Date,Tweet,Username,Url
2022-11-27 15:02:52+00:00,@ThreeUK honestly thought upgrading would be a seamless process.... WRONG!! And to then be spoken down to by one of your operatives! Wow! So much for 10 years of loyalty to your network!,LisaE2908,https://twitter.com/LisaE2908/status/1596882254185533441
2022-11-27 13:35:26+00:00,@ThreeUKSupport Hi. Can't log into Santander online banking when on Three 5G home broadband. Could be the constantly changing IP. @ThreeUK @ThreeUKSupport @santanderuk @santanderukhelp,madonnaragu,https://twitter.com/madonnaragu/status/1596860251612975104
2022-11-27 13:33:10+00:00,left my @ThreeUK contract a whole year early without paying a single penny for the cancellation fee https://t.co/VlrhWayYRF,shadesofro,https://twitter.com/shadesofro/status/1596859679484674048
2022-11-27 12:59:12+00:00,"This can only mean one thing…officially now joined @O2 🥳 and said goodbye to @ThreeUKSupport / @ThreeUK 

O2 Customer services team have been amazing, gone above and beyond!! 

I hope the service is just as good as the experience so far 🤞 https://t.co/0MnDPkugMv",Chrissy_imc,https://twitter.com/Chrissy_imc/status/1596851133527789568
2022-11-27 12:29:03+00:00,@ThreeUK why bother issuing an order reference number if you cannot use it to track an order?,ReeceMayberry,https://twitter.com/ReeceMayberry/status/1596843544249249796
2022-11-27 11:36:44+00:00,"@mattyoung_ @ThreeUK No updates so far , just apparently end of November , if not going to go back in store and asking why did they lie etc",MrCurrlyHair,https://twitter.com/MrCurrlyHair/status/1596830376504483845
2022-11-27 11:26:15+00:00,"@Roccaboxuk Hi 'Wheresmybox', placed an order via a @ThreeUK offer over a week ago and heard nothing at all even though delivery promised in 48hrs. Where is my order? Looks like other reviewers have had the same issue😡",BCrostonblue,https://twitter.com/BCrostonblue/status/1596827741982056449
2022-11-27 10:56:41+00:00,@monkey__nuts @ThreeUK Might check that out.  But tbh after they tried to scam me by signing another contract they won't get another penny from me.  Disgusting scamming tactics.  All usual sale bs.  There coverage around L1 is dreadful as well...,theforceofKozma,https://twitter.com/theforceofKozma/status/1596820298179162113
2022-11-27 10:54:05+00:00,"@theforceofKozma @ThreeUK I left Three due to them removing inclusive EU roaming.

Joined ID Mobile who do give inclusive roaming. And use Three as their network provider.

Oh, and a fair bit cheaper per month",monkey__nuts,https://twitter.com/monkey__nuts/status/1596819645260263424
2022-11-27 10:53:04+00:00,"@CharlotteL_95 @ThreeUK Well they wanted to sell me an additional contract, disgusting as a special deal.  I only caught them out at the end.  Desperate to scam customers.  I'm moving to #vodaphone",theforceofKozma,https://twitter.com/theforceofKozma/status/1596819387130212352
2022-11-27 10:50:50+00:00,"@ThreeUK Leaving Three due to the poor service &amp; attempts by customer services to mislead.  Rang up with query.  Then given the usual, ""You can get an upgrade good customer rubbish"".  Was advised I could get S22 signing a new contract.  Was then told no sir, you are having 2 contracts???",theforceofKozma,https://twitter.com/theforceofKozma/status/1596818826444013568
2022-11-27 10:09:15+00:00,@ThreeUK what’s wrong with your website?,justbea__,https://twitter.com/justbea__/status/1596808362078789632
2022-11-27 10:04:35+00:00,"@ThreeUK  Well after 6 years with 3, my wife is moving to another more competitive network.  Three just getting to expensive for even the basics .",paulhayward200,https://twitter.com/paulhayward200/status/1596807187468537856
2022-11-27 09:56:09+00:00,@Kirstylu29 @KCOMhome @EE @ThreeUK https://t.co/eQaFCK3USv,Masai_Williams,https://twitter.com/Masai_Williams/status/1596805065670807554
2022-11-27 09:54:59+00:00,@ThreeUK no internet AGAIN! AB42 0PE update please not just the standard we’re sorry we’re attending an issue…when will it be on 😡😡,hockeynutta,https://twitter.com/hockeynutta/status/1596804771825913856
